iter	Passed	Remaining
0	1	151
1	2	139
2	4	146
3	5	133
4	6	130
5	8	126
6	9	124
7	10	123
8	12	122
9	13	120
10	14	118
11	16	117
12	17	115
13	18	115
14	20	113
15	21	112
16	22	110
17	23	109
18	25	107
19	26	106
20	27	104
21	29	103
22	30	101
23	31	100
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	91
30	40	90
31	42	89
32	43	87
33	44	86
34	45	85
35	47	84
36	48	82
37	49	81
38	51	80
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	61	67
48	63	65
49	64	64
50	65	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	77	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	90	38
70	91	37
71	92	36
72	93	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	26
79	103	25
80	104	24
81	105	23
82	106	21
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	117	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	125	3
97	127	2
98	128	1
99	129	0
